Index	Label
0	3
1	6
2	8
3	0
4	7
5	8
6	6
7	5
8	8
9	0
10	6
11	5
12	9
13	9
14	7
15	1
16	6
17	9
18	5
19	9
20	1
21	2
22	8
23	7
24	2
25	6
26	5
27	2
28	3
29	0
30	0
31	8
32	7
33	7
34	5
35	8
36	0
37	5
38	6
39	8
40	7
41	7
42	2
43	2
44	0
45	6
46	2
47	7
48	3
49	5
50	2
51	3
52	4
53	8
54	5
55	8
56	0
57	7
58	7
59	4
60	9
61	3
62	3
63	8
64	5
65	1
66	0
67	4
68	0
69	6
70	1
71	2
72	9
73	9
74	0
75	5
76	3
77	8
78	7
79	4
80	8
81	5
82	5
83	7
84	3
85	1
86	3
87	3
88	9
89	3
90	2
91	1
92	2
93	8
94	7
95	5
96	7
97	4
98	4
99	7
100	7
101	0
102	6
103	1
104	8
105	4
106	8
107	3
108	9
109	8
110	1
111	7
112	1
113	8
114	9
115	1
116	8
117	1
118	2
119	4
120	9
121	0
122	7
123	0
124	7
125	1
126	6
127	3
128	2
129	8
130	1
131	4
132	8
133	6
134	8
135	9
136	1
137	0
138	8
139	2
140	8
141	6
142	3
143	8
144	3
145	9
146	0
147	6
148	8
149	4
150	4
151	3
152	0
153	4
154	5
155	3
156	9
157	7
158	8
159	7
160	3
161	5
162	9
163	9
164	4
165	4
166	0
167	0
168	3
169	4
170	7
171	2
172	9
173	5
174	6
175	5
176	2
177	7
178	8
179	9
180	5
181	6
182	6
183	5
184	8
185	5
186	5
187	1
188	3
189	7
190	6
191	9
192	6
193	1
194	6
195	7
196	8
197	1
198	5
199	9
200	5
201	6
202	8
203	3
204	0
205	0
206	3
207	8
208	9
209	0
210	3
211	9
212	6
213	3
214	8
215	4
216	0
217	4
218	4
219	0
220	8
221	7
222	9
223	2
224	8
225	7
226	2
227	3
228	3
229	4
230	4
231	4
232	1
233	3
234	7
235	6
236	0
237	3
238	2
239	7
240	3
241	5
242	5
243	4
244	3
245	8
246	7
247	8
248	0
249	1
250	6
251	8
252	7
253	3
254	4
255	2
256	3
257	9
258	0
259	0
260	5
261	4
262	3
263	4
264	9
265	2
266	5
267	3
268	7
269	3
270	9
271	7
272	5
273	5
274	4
275	5
276	5
277	6
278	4
279	6
280	7
281	2
282	0
283	0
284	7
285	8
286	7
287	9
288	0
289	7
290	9
291	7
292	1
293	7
294	7
295	9
296	9
297	1
298	6
299	0
300	6
301	8
302	6
303	7
304	8
305	8
306	8
307	6
308	5
309	6
310	7
311	6
312	2
313	4
314	2
315	2
316	6
317	1
318	2
319	6
320	4
321	4
322	2
323	7
324	1
325	8
326	3
327	1
328	3
329	1
330	2
331	6
332	5
333	4
334	1
335	1
336	2
337	0
338	3
339	9
340	7
341	2
342	0
343	1
344	0
345	1
346	1
347	8
348	1
349	0
350	2
351	1
352	3
353	5
354	8
355	4
356	7
357	5
358	5
359	6
360	1
361	6
362	1
363	1
364	4
365	1
366	8
367	1
368	2
369	1
370	3
371	3
372	9
373	0
374	6
375	1
376	2
377	6
378	3
379	5
380	1
381	1
382	8
383	0
384	6
385	3
386	2
387	6
388	9
389	9
390	3
391	2
392	3
393	6
394	3
395	1
396	5
397	5
398	9
399	0
400	8
401	4
402	0
403	5
404	6
405	1
406	5
407	4
408	3
409	0
410	1
411	8
412	5
413	2
414	1
415	4
416	4
417	8
418	0
419	9
420	8
421	0
422	0
423	1
424	5
425	5
426	0
427	3
428	2
429	9
430	8
431	8
432	4
433	1
434	1
435	6
436	6
437	3
438	5
439	2
440	7
441	0
442	0
443	9
444	1
445	9
446	8
447	7
448	5
449	7
450	4
451	1
452	3
453	8
454	0
455	0
456	6
457	2
458	1
459	9
460	0
461	9
462	0
463	2
464	2
465	2
466	1
467	9
468	3
469	3
470	7
471	1
472	0
473	8
474	1
475	1
476	1
477	4
478	3
479	0
480	8
481	5
482	2
483	3
484	3
485	4
486	2
487	2
488	0
489	1
490	6
491	2
492	5
493	3
494	3
495	3
496	4
497	7
498	2
499	9
500	6
501	3
502	2
503	6
504	3
505	2
506	6
507	9
508	2
509	1
510	8
511	2
512	2
513	2
514	1
515	7
516	3
517	2
518	0
519	0
520	0
521	8
522	7
523	9
524	5
525	2
526	1
527	0
528	0
529	7
530	9
531	4
532	7
533	3
534	0
535	7
536	3
537	2
538	7
539	5
540	1
541	0
542	4
543	8
544	7
545	8
546	0
547	9
548	7
549	3
550	1
551	7
552	4
553	7
554	9
555	6
556	8
557	1
558	8
559	3
560	0
561	1
562	5
563	8
564	1
565	1
566	3
567	7
568	5
569	5
570	6
571	4
572	8
573	5
574	2
575	7
576	2
577	2
578	4
579	2
580	0
581	0
582	4
583	0
584	9
585	8
586	8
587	0
588	4
589	6
590	3
591	8
592	5
593	8
594	0
595	6
596	7
597	1
598	0
599	8
600	6
601	7
602	7
603	9
604	3
605	7
606	4
607	4
608	7
609	5
610	1
611	0
612	9
613	4
614	2
615	0
616	3
617	9
618	6
619	0
620	9
621	2
622	2
623	6
624	3
625	2
626	7
627	2
628	9
629	5
630	5
631	1
632	8
633	7
634	7
635	4
636	1
637	5
638	5
639	6
640	3
641	1
642	5
643	5
644	7
645	7
646	5
647	3
648	1
649	5
650	1
651	9
652	7
653	9
654	7
655	3
656	2
657	7
658	1
659	7
660	6
661	4
662	4
663	5
664	0
665	8
666	1
667	1
668	3
669	8
670	7
671	9
672	1
673	6
674	0
675	3
676	8
677	2
678	0
679	9
680	1
681	8
682	5
683	2
684	2
685	4
686	4
687	3
688	5
689	2
690	7
691	9
692	2
693	3
694	3
695	2
696	9
697	2
698	2
699	6
700	6
701	7
702	4
703	9
704	9
705	8
706	3
707	1
708	4
709	0
710	0
711	2
712	2
713	8
714	0
715	1
716	3
717	2
718	3
719	7
720	3
721	8
722	5
723	7
724	9
725	4
726	7
727	4
728	4
729	8
730	0
731	1
732	2
733	3
734	2
735	5
736	6
737	0
738	6
739	9
740	7
741	5
742	1
743	5
744	2
745	7
746	9
747	5
748	3
749	3
750	4
751	7
752	4
753	6
754	1
755	5
756	6
757	6
758	2
759	8
760	8
761	2
762	0
763	6
764	1
765	6
766	3
767	0
768	3
769	9
770	4
771	8
772	5
773	4
774	6
775	7
776	7
777	3
778	7
779	1
780	6
781	5
782	7
783	2
784	8
785	1
786	6
787	2
788	7
789	3
790	4
791	5
792	4
793	3
794	4
795	5
796	1
797	2
798	1
799	0
800	2
801	4
802	7
803	7
804	5
805	1
806	9
807	2
808	2
809	8
810	7
811	4
812	0
813	7
814	6
815	0
816	7
817	8
818	8
819	0
820	9
821	8
822	2
823	7
824	8
825	4
826	7
827	7
828	8
829	8
830	2
831	0
832	7
833	5
834	1
835	6
836	1
837	9
838	1
839	4
840	3
841	5
842	0
843	9
844	3
845	2
846	6
847	2
848	4
849	0
850	5
851	5
852	8
853	2
854	9
855	0
856	2
857	6
858	1
859	9
860	0
861	2
862	5
863	3
864	1
865	8
866	1
867	1
868	7
869	3
870	3
871	3
872	5
873	8
874	0
875	8
876	6
877	0
878	2
879	2
880	5
881	8
882	2
883	3
884	9
885	6
886	5
887	0
888	8
889	5
890	4
891	0
892	7
893	3
894	1
895	6
896	6
897	4
898	1
899	3
900	3
901	2
902	3
903	0
904	7
905	6
906	2
907	9
908	7
909	6
910	9
911	7
912	3
913	2
914	2
915	3
916	4
917	7
918	2
919	6
920	5
921	4
922	8
923	2
924	0
925	4
926	0
927	7
928	0
929	5
930	2
931	6
932	2
933	3
934	8
935	9
936	6
937	8
938	0
939	5
940	5
941	0
942	3
943	5
944	5
945	7
946	4
947	9
948	6
949	9
950	7
951	6
952	3
953	0
954	3
955	7
956	1
957	7
958	8
959	0
960	0
961	5
962	6
963	4
964	1
965	1
966	2
967	9
968	3
969	6
970	1
971	4
972	1
973	5
974	9
975	9
976	4
977	0
978	1
979	8
980	1
981	6
982	3
983	9
984	5
985	7
986	2
987	1
988	0
989	2
990	3
991	5
992	3
993	0
994	1
995	8
996	9
997	8
998	4
999	4
1000	3
1001	1
1002	3
1003	9
1004	3
1005	9
1006	0
1007	1
1008	8
1009	1
1010	7
1011	9
1012	7
1013	6
1014	7
1015	0
1016	8
1017	8
1018	3
1019	2
1020	7
1021	7
1022	9
1023	8
1024	3
1025	1
1026	1
1027	7
1028	7
1029	5
1030	3
1031	6
1032	5
1033	0
1034	4
1035	0
1036	4
1037	4
1038	2
1039	8
1040	7
1041	6
1042	2
1043	7
1044	2
1045	0
1046	6
1047	0
1048	7
1049	3
1050	3
1051	4
1052	8
1053	6
1054	8
1055	6
1056	7
1057	1
1058	7
1059	0
1060	4
1061	9
1062	8
1063	1
1064	1
1065	1
1066	3
1067	7
1068	7
1069	5
1070	2
1071	4
1072	0
1073	2
1074	5
1075	0
1076	4
1077	4
1078	4
1079	7
1080	0
1081	3
1082	9
1083	2
1084	5
1085	7
1086	8
1087	1
1088	1
1089	9
1090	6
1091	8
1092	9
1093	1
1094	9
1095	4
1096	5
1097	1
1098	6
1099	8
1100	1
1101	2
1102	2
1103	6
1104	3
1105	7
1106	6
1107	9
1108	5
1109	8
1110	9
1111	3
1112	1
1113	4
1114	2
1115	1
1116	1
1117	7
1118	3
1119	7
1120	8
1121	7
1122	8
1123	7
1124	2
1125	3
1126	9
1127	6
1128	7
1129	1
1130	4
1131	9
1132	0
1133	3
1134	8
1135	0
1136	9
1137	8
1138	0
1139	0
1140	3
1141	7
1142	3
